bench,ORDER,n,t
create,1,3503,0.000215232
create,1,3519,0.000223142
create,1,3535,0.000215232
create,1,3551,0.000223142
create,1,3567,0.000223142
create,1,3583,0.000234216
create,1,3599,0.00018992
create,1,3615,0.000199412
create,1,3631,0.000199412
create,1,3647,0.000208904
create,1,3663,0.000199412
create,1,3679,0.000208904
create,1,3695,0.000208904
create,1,3711,0.000216814
create,1,3727,0.000207322
create,1,3743,0.000215232
create,1,3759,0.000215232
create,1,3775,0.000223142
create,1,3791,0.000215232
create,1,3807,0.000223142
create,1,3823,0.000223142
create,1,3839,0.000234216
create,1,3855,0.00020574
create,1,3871,0.00021365
create,1,3887,0.00021365
create,1,3903,0.00022156
create,1,3919,0.00021365
create,1,3935,0.00022156
create,1,3951,0.00022156
create,1,3967,0.000234216
create,1,3983,0.000218396
create,1,3999,0.000226306
create,1,4015,0.000226306
create,1,4031,0.000234216
create,1,4047,0.000226306
create,1,4063,0.000234216
create,1,4079,0.000234216
create,1,4095,0.00024529
create,1,4111,0.000175682
create,1,4127,0.000183592
create,1,4143,0.000183592
create,1,4159,0.000191502
create,1,4175,0.000183592
create,1,4191,0.000191502
create,1,4207,0.000191502
create,1,4223,0.000200994
create,1,4239,0.00018992
create,1,4255,0.000202576
create,1,4271,0.000202576
create,1,4287,0.000212068
create,1,4303,0.000202576
create,1,4319,0.000212068
create,1,4335,0.000212068
create,1,4351,0.000219978
create,1,4367,0.000191502
create,1,4383,0.000200994
create,1,4399,0.000200994
create,1,4415,0.000210486
create,1,4431,0.000200994
create,1,4447,0.000210486
create,1,4463,0.000210486
create,1,4479,0.000218396
create,1,4495,0.000207322
create,1,4511,0.000215232
create,1,4527,0.000215232
create,1,4543,0.000223142
create,1,4559,0.000215232
create,1,4575,0.000223142
create,1,4591,0.000223142
create,1,4607,0.000234216
create,1,4623,0.00018992
create,1,4639,0.000199412
create,1,4655,0.000199412
create,1,4671,0.000208904
create,1,4687,0.000199412
create,1,4703,0.000208904
create,1,4719,0.000208904
create,1,4735,0.000216814
create,1,4751,0.000207322
create,1,4767,0.000215232
create,1,4783,0.000215232
create,1,4799,0.000223142
create,1,4815,0.000215232
create,1,4831,0.000223142
create,1,4847,0.000223142
create,1,4863,0.000234216
create,1,4879,0.00020574
create,1,4895,0.00021365
create,1,4911,0.00021365
create,1,4927,0.00022156
create,1,4943,0.00021365
create,1,4959,0.00022156
create,1,4975,0.00022156
create,1,4991,0.000234216
create,1,5007,0.000218396
create,1,5023,0.000226306
create,1,5039,0.000226306
create,1,5055,0.000234216
create,1,5071,0.000226306
create,1,5087,0.000234216
create,1,5103,0.000234216
create,1,5119,0.00024529
create,1,5135,0.000188338
create,1,5151,0.00019783
create,1,5167,0.00019783
create,1,5183,0.000207322
create,1,5199,0.00019783
create,1,5215,0.000207322
create,1,5231,0.000207322
create,1,5247,0.000215232
create,1,5263,0.000207322
create,1,5279,0.000215232
create,1,5295,0.000215232
create,1,5311,0.000223142
create,1,5327,0.000215232
create,1,5343,0.000223142
create,1,5359,0.000223142
create,1,5375,0.000234216
create,1,5391,0.00020574
create,1,5407,0.00021365
create,1,5423,0.00021365
create,1,5439,0.00022156
create,1,5455,0.00021365
create,1,5471,0.00022156
create,1,5487,0.00022156
create,1,5503,0.000234216
create,1,5519,0.000218396
create,1,5535,0.000226306
create,1,5551,0.000226306
create,1,5567,0.000234216
create,1,5583,0.000226306
create,1,5599,0.000234216
create,1,5615,0.000234216
create,1,5631,0.00024529
create,1,5647,0.000202576
create,1,5663,0.000212068
create,1,5679,0.000212068
create,1,5695,0.000219978
create,1,5711,0.000212068
create,1,5727,0.000219978
create,1,5743,0.000219978
create,1,5759,0.000234216
create,1,5775,0.000218396
create,1,5791,0.000226306
create,1,5807,0.000226306
create,1,5823,0.000234216
create,1,5839,0.000226306
create,1,5855,0.000234216
create,1,5871,0.000234216
create,1,5887,0.00024529
create,1,5903,0.000216814
create,1,5919,0.000224724
create,1,5935,0.000224724
create,1,5951,0.000232634
create,1,5967,0.000224724
create,1,5983,0.000232634
create,1,5999,0.000232634
create,1,6015,0.00024529
create,1,6031,0.00022947
create,1,6047,0.00023738
create,1,6063,0.00023738
create,1,6079,0.00024529
create,1,6095,0.00023738
create,1,6111,0.00024529
create,1,6127,0.00024529
create,1,6143,0.000256364
create,1,6159,0.000186756
create,1,6175,0.000194666
create,1,6191,0.000194666
create,1,6207,0.00020574
create,1,6223,0.000194666
create,1,6239,0.00020574
create,1,6255,0.00020574
create,1,6271,0.00021365
create,1,6287,0.000207322
create,1,6303,0.000215232
create,1,6319,0.000215232
create,1,6335,0.000223142
create,1,6351,0.000215232
create,1,6367,0.000223142
create,1,6383,0.000223142
create,1,6399,0.000234216
create,1,6415,0.00020574
create,1,6431,0.00021365
create,1,6447,0.00021365
create,1,6463,0.00022156
create,1,6479,0.00021365
create,1,6495,0.00022156
create,1,6511,0.00022156
create,1,6527,0.000234216
create,1,6543,0.000218396
create,1,6559,0.000226306
create,1,6575,0.000226306
create,1,6591,0.000234216
create,1,6607,0.000226306
create,1,6623,0.000234216
create,1,6639,0.000234216
create,1,6655,0.00024529
create,1,6671,0.000202576
create,1,6687,0.000212068
create,1,6703,0.000212068
create,1,6719,0.000219978
create,1,6735,0.000212068
create,1,6751,0.000219978
create,1,6767,0.000219978
create,1,6783,0.000234216
create,1,6799,0.000218396
create,1,6815,0.000226306
create,1,6831,0.000226306
create,1,6847,0.000234216
create,1,6863,0.000226306
create,1,6879,0.000234216
create,1,6895,0.000234216
create,1,6911,0.00024529
create,1,6927,0.000216814
create,1,6943,0.000224724
create,1,6959,0.000224724
create,1,6975,0.000232634
create,1,6991,0.000224724
create,1,7007,0.000232634
create,1,7023,0.000232634
create,1,7039,0.00024529
create,1,7055,0.00022947
create,1,7071,0.00023738
create,1,7087,0.00023738
create,1,7103,0.00024529
create,1,7119,0.00023738
create,1,7135,0.00024529
create,1,7151,0.00024529
create,1,7167,0.000256364
create,1,7183,0.000200994
create,1,7199,0.000210486
create,1,7215,0.000210486
create,1,7231,0.000218396
create,1,7247,0.000210486
create,1,7263,0.000218396
create,1,7279,0.000218396
create,1,7295,0.000232634
create,1,7311,0.000218396
create,1,7327,0.000226306
create,1,7343,0.000226306
create,1,7359,0.000234216
create,1,7375,0.000226306
create,1,7391,0.000234216
create,1,7407,0.000234216
create,1,7423,0.00024529
create,1,7439,0.000216814
create,1,7455,0.000224724
create,1,7471,0.000224724
create,1,7487,0.000232634
create,1,7503,0.000224724
create,1,7519,0.000232634
create,1,7535,0.000232634
create,1,7551,0.00024529
create,1,7567,0.00022947
create,1,7583,0.00023738
create,1,7599,0.00023738
create,1,7615,0.00024529
create,1,7631,0.00023738
create,1,7647,0.00024529
create,1,7663,0.00024529
create,1,7679,0.000256364
create,1,7695,0.000215232
create,1,7711,0.000223142
create,1,7727,0.000223142
