bench,ORDER,n,t
create,2,1,5.0704e-05
create,2,15,9.0872e-05
create,2,31,9.1312e-05
create,2,47,9.9662e-05
create,2,63,0.000100364
create,2,79,0.000109154
create,2,95,0.000117064
create,2,111,0.000124974
create,2,127,0.000117504
create,2,143,0.000109154
create,2,159,0.000124974
create,2,175,0.000126294
create,2,191,0.000125414
create,2,207,0.000123654
create,2,223,0.000117504
create,2,239,0.000126294
create,2,255,0.000133764
create,2,271,0.000127436
create,2,287,0.000125854
create,2,303,0.000145718
create,2,319,0.000124094
create,2,335,0.000120668
create,2,351,0.000127436
create,2,367,0.000137368
create,2,383,0.000127436
create,2,399,0.000144576
create,2,415,0.000137892
create,2,431,0.0001306
create,2,447,0.000140972
create,2,463,0.000152046
create,2,479,0.000142114
create,2,495,0.000150726
create,2,511,0.000119788
create,2,527,0.000129458
create,2,543,0.000123832
create,2,559,0.000164
create,2,575,0.00013895
create,2,591,0.0001473
create,2,607,0.000148704
create,2,623,0.00013851
create,2,639,0.000140092
create,2,655,0.000150464
create,2,671,0.000158374
create,2,687,0.000139652
create,2,703,0.000157232
create,2,719,0.000169888
create,2,735,0.000143256
create,2,751,0.000149144
create,2,767,0.000158814
create,2,783,0.000151606
create,2,799,0.000148002
create,2,815,0.000141674
create,2,831,0.000150024
create,2,847,0.000143696
create,2,863,0.000151606
create,2,879,0.000151166
create,2,895,0.000157232
create,2,911,0.000160396
create,2,927,0.00016268
create,2,943,0.000133764
create,2,959,0.000151868
create,2,975,0.000168746
create,2,991,0.000167164
create,2,1007,0.000141234
create,2,1023,0.000166724
create,2,1039,0.000150904
create,2,1055,0.000177358
create,2,1071,0.000156352
create,2,1087,0.000161978
create,2,1103,0.000150464
create,2,1119,0.00016356
create,2,1135,0.000169888
create,2,1151,0.000153628
create,2,1167,0.000173052
create,2,1183,0.000164702
create,2,1199,0.000152748
create,2,1215,0.00016312
create,2,1231,0.000164702
create,2,1247,0.000153188
create,2,1263,0.000159956
create,2,1279,0.00015433
create,2,1295,0.00015521
create,2,1311,0.000161538
create,2,1327,0.00017147
create,2,1343,0.000156352
create,2,1359,0.000169888
create,2,1375,0.000169186
create,2,1391,0.000162418
create,2,1407,0.000169888
create,2,1423,0.000153188
create,2,1439,0.000151606
create,2,1455,0.000153188
create,2,1471,0.000158814
create,2,1487,0.000161538
create,2,1503,0.000168746
create,2,1519,0.00015477
create,2,1535,0.00016224
create,2,1551,0.000166986
create,2,1567,0.000159516
create,2,1583,0.00015257
create,2,1599,0.000169448
create,2,1615,0.000161538
create,2,1631,0.000151606
create,2,1647,0.00015433
create,2,1663,0.000159076
create,2,1679,0.000176656
create,2,1695,0.000160396
create,2,1711,0.000163382
create,2,1727,0.00016312
create,2,1743,0.00016312
create,2,1759,0.00016224
create,2,1775,0.000169888
create,2,1791,0.000181402
