bench,ORDER,n,t
create,0,1,5.0704e-05
create,0,15,8.5508e-05
create,0,31,0.000104492
create,0,47,0.000112402
create,0,63,0.000120312
create,0,79,0.000120312
create,0,95,0.000128222
create,0,111,0.000128222
create,0,127,0.000136132
create,0,143,0.000128222
create,0,159,0.000136132
create,0,175,0.000136132
create,0,191,0.000144042
create,0,207,0.000136132
create,0,223,0.000144042
create,0,239,0.000144042
create,0,255,0.000151952
create,0,271,0.000137714
create,0,287,0.000145624
create,0,303,0.000145624
create,0,319,0.000153534
create,0,335,0.000145624
create,0,351,0.000153534
create,0,367,0.000153534
create,0,383,0.000161444
create,0,399,0.000147206
create,0,415,0.000155116
create,0,431,0.000156698
create,0,447,0.000164608
create,0,463,0.000156698
create,0,479,0.000164608
create,0,495,0.000164608
create,0,511,0.000172518
create,0,527,0.000147206
create,0,543,0.000155116
create,0,559,0.000155116
create,0,575,0.000163026
create,0,591,0.000155116
create,0,607,0.000163026
create,0,623,0.000163026
create,0,639,0.000170936
create,0,655,0.000156698
create,0,671,0.000164608
create,0,687,0.000167772
create,0,703,0.000175682
create,0,719,0.000167772
create,0,735,0.000175682
create,0,751,0.000175682
create,0,767,0.000183592
create,0,783,0.00015828
create,0,799,0.00016619
create,0,815,0.00016619
create,0,831,0.0001741
create,0,847,0.00016619
create,0,863,0.0001741
create,0,879,0.0001741
create,0,895,0.00018201
create,0,911,0.000167772
create,0,927,0.000178846
create,0,943,0.000178846
create,0,959,0.000186756
create,0,975,0.000178846
create,0,991,0.000186756
create,0,1007,0.000186756
create,0,1023,0.000194666
create,0,1039,0.000156698
create,0,1055,0.000164608
create,0,1071,0.000164608
create,0,1087,0.000172518
create,0,1103,0.000164608
create,0,1119,0.000172518
create,0,1135,0.000172518
create,0,1151,0.000180428
create,0,1167,0.00016619
create,0,1183,0.000178846
create,0,1199,0.000178846
create,0,1215,0.000186756
create,0,1231,0.000178846
create,0,1247,0.000186756
create,0,1263,0.000186756
create,0,1279,0.000194666
create,0,1295,0.000169354
create,0,1311,0.000177264
create,0,1327,0.000177264
create,0,1343,0.000185174
create,0,1359,0.000177264
create,0,1375,0.000185174
create,0,1391,0.000185174
create,0,1407,0.000193084
create,0,1423,0.000178846
create,0,1439,0.00018992
create,0,1455,0.00018992
create,0,1471,0.000199412
create,0,1487,0.00018992
create,0,1503,0.000199412
create,0,1519,0.000199412
create,0,1535,0.000208904
create,0,1551,0.000167772
create,0,1567,0.000175682
create,0,1583,0.000175682
create,0,1599,0.000183592
create,0,1615,0.000175682
create,0,1631,0.000183592
create,0,1647,0.000183592
create,0,1663,0.000191502
create,0,1679,0.000177264
create,0,1695,0.00018992
create,0,1711,0.00018992
create,0,1727,0.000199412
create,0,1743,0.00018992
create,0,1759,0.000199412
create,0,1775,0.000199412
create,0,1791,0.000208904
create,0,1807,0.000180428
create,0,1823,0.000188338
create,0,1839,0.000188338
create,0,1855,0.00019783
create,0,1871,0.000188338
create,0,1887,0.00019783
create,0,1903,0.00019783
create,0,1919,0.000207322
create,0,1935,0.000193084
create,0,1951,0.000202576
create,0,1967,0.000202576
create,0,1983,0.000212068
create,0,1999,0.000202576
create,0,2015,0.000212068
create,0,2031,0.000212068
create,0,2047,0.000219978
create,0,2063,0.00016619
create,0,2079,0.0001741
create,0,2095,0.0001741
create,0,2111,0.00018201
create,0,2127,0.0001741
create,0,2143,0.00018201
create,0,2159,0.00018201
create,0,2175,0.00018992
create,0,2191,0.000175682
create,0,2207,0.00018992
create,0,2223,0.00018992
create,0,2239,0.000199412
create,0,2255,0.00018992
create,0,2271,0.000199412
create,0,2287,0.000199412
create,0,2303,0.000208904
create,0,2319,0.000180428
create,0,2335,0.000188338
